Dia:;2023-05-30;Fecha:;16:27:42.501870
Repeticiones:;3;Frecuencias:;[12, 15, 20, 30, 120, 150, 180, 200, 220]
Revision:;Capem_Cliente_R4.ipynb


Repetición;Frecuencia;En posicion;Posicion;Error SC;Presion;Nivel agua;T recipiente;T subenfriada;T Estimada;Inductancia;Unidad;Resistencia;unidad;Dia;Hora
0;12;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;40.363;mH;15.61;Ohm;2023-05-30;16:27:42.499059
0;15;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;40.360;mH;15.62;Ohm;2023-05-30;16:27:45.509494
0;20;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;40.356;mH;15.66;Ohm;2023-05-30;16:27:48.695782
0;30;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;40.341;mH;15.75;Ohm;2023-05-30;16:27:51.883793
0;120;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;39.894;mH;18.11;Ohm;2023-05-30;16:27:55.049132
0;150;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;39.634;mH;19.49;Ohm;2023-05-30;16:27:58.207053
0;180;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;39.362;mH;20.93;Ohm;2023-05-30;16:28:01.348577
0;200;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;39.091;mH;22.37;Ohm;2023-05-30;16:28:04.491065
0;220;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;38.912;mH;23.31;Ohm;2023-05-30;16:28:07.626388
1;12;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;40.357;mH;15.61;Ohm;2023-05-30;16:28:10.743315
1;15;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;40.359;mH;15.62;Ohm;2023-05-30;16:28:13.757510
1;20;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;40.355;mH;15.66;Ohm;2023-05-30;16:28:16.945978
1;30;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;40.341;mH;15.75;Ohm;2023-05-30;16:28:20.129831
1;120;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;39.895;mH;18.11;Ohm;2023-05-30;16:28:23.291528
