Dia:;2023-06-02;Hora:;16:12:19.563912
Repeticiones:;3;Frecuencias:;[12, 15, 20, 30, 120, 150, 180, 200, 220]
Revision:;Capem_Cliente_R4.ipynb


Repetición;Frecuencia;En posicion;Posicion;Error SC;Presion;Nivel agua;T recipiente;T subenfriada;T Estimada;Inductancia;Unidad;Resistencia;unidad;Dia;Hora
0;12;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;error;error;error;error;2023-06-02;16:12:19.561041
0;15;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;error;error;error;error;2023-06-02;16:12:32.089910
0;20;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;error;error;error;error;2023-06-02;16:12:44.633032
0;12;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.365;mH;14.28;Ohm;2023-06-02;16:14:15.079252
0;15;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.362;mH;14.30;Ohm;2023-06-02;16:14:17.595781
0;20;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.359;mH;14.33;Ohm;2023-06-02;16:14:20.117599
0;30;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.344;mH;14.42;Ohm;2023-06-02;16:14:22.636900
0;120;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.896;mH;16.79;Ohm;2023-06-02;16:14:25.154031
0;150;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.638;mH;18.17;Ohm;2023-06-02;16:14:27.677438
0;180;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.362;mH;19.61;Ohm;2023-06-02;16:14:30.197901
0;200;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.089;mH;21.04;Ohm;2023-06-02;16:14:32.718807
0;220;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;38.909;mH;21.99;Ohm;2023-06-02;16:14:35.236942
1;12;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.365;mH;14.28;Ohm;2023-06-02;16:14:37.752856
1;15;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.363;mH;14.30;Ohm;2023-06-02;16:14:40.271110
1;20;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.359;mH;14.33;Ohm;2023-06-02;16:14:42.792456
1;30;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.347;mH;14.42;Ohm;2023-06-02;16:14:45.313587
1;120;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.896;mH;16.79;Ohm;2023-06-02;16:14:47.835574
1;150;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.633;mH;18.17;Ohm;2023-06-02;16:14:50.356483
1;180;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.360;mH;19.60;Ohm;2023-06-02;16:14:52.873236
1;200;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.087;mH;21.04;Ohm;2023-06-02;16:14:55.391548
1;220;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;38.908;mH;21.98;Ohm;2023-06-02;16:14:57.910773
2;12;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.364;mH;14.28;Ohm;2023-06-02;16:15:00.436102
2;15;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.361;mH;14.30;Ohm;2023-06-02;16:15:02.964202
2;20;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.358;mH;14.33;Ohm;2023-06-02;16:15:05.478919
2;30;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.343;mH;14.42;Ohm;2023-06-02;16:15:08.001126
2;120;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.895;mH;16.79;Ohm;2023-06-02;16:15:10.522240
