
Dia:;2023-06-22;Hora:;10:46:25.659871
Repeticiones:;10;Frecuencias:;[12, 15, 20, 30, 120, 150, 180, 200, 220]
Revision:;Capem_Cliente_R4.ipynb

Comentarios:
Aqui van los comentarios pertinentes al ensayo
Puede ser escrito en varios renglones

Repeticion;Frecuencia_Hz;En posicion;Posicion_mm;Error SC;Presion_bar;Nivel agua_mmh2o;T recipiente_C;T subenfriada_C;T Estimada_C;Inductancia;Unidad;Resistencia;Unidad;Dia;Hora
0;12;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;31.474;mH;15.38;Ohm;2023-06-22;10:46:25.656391
0;15;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;27.812;mH;15.01;Ohm;2023-06-22;10:46:28.180146
0;20;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;33.730;mH;15.55;Ohm;2023-06-22;10:46:30.702471
0;30;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;35.694;mH;16.33;Ohm;2023-06-22;10:46:33.223957
0;120;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.302;mH;20.36;Ohm;2023-06-22;10:46:35.743389
0;150;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;38.390;mH;23.63;Ohm;2023-06-22;10:46:38.262768
0;180;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.215;mH;25.61;Ohm;2023-06-22;10:46:40.784957
0;200;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.230;mH;26.99;Ohm;2023-06-22;10:46:43.311094
0;220;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;38.923;mH;28.35;Ohm;2023-06-22;10:46:45.835753
1;12;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;25.614;mH;15.69;Ohm;2023-06-22;10:46:48.357720
1;15;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;27.296;mH;14.89;Ohm;2023-06-22;10:46:50.881053
1;20;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;35.396;mH;14.67;Ohm;2023-06-22;10:46:53.404912
1;30;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;34.893;mH;16.35;Ohm;2023-06-22;10:46:55.930672
1;120;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;37.932;mH;20.51;Ohm;2023-06-22;10:46:58.453941
1;150;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;38.824;mH;22.66;Ohm;2023-06-22;10:47:00.974092
1;180;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.108;mH;26.39;Ohm;2023-06-22;10:47:03.498195
1;200;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.580;mH;25.00;Ohm;2023-06-22;10:47:06.022885
1;220;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.417;mH;27.87;Ohm;2023-06-22;10:47:08.543526
2;12;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;33.107;mH;15.23;Ohm;2023-06-22;10:47:11.062513
2;15;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;23.398;mH;14.90;Ohm;2023-06-22;10:47:13.577773
2;20;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;32.147;mH;15.20;Ohm;2023-06-22;10:47:16.101051
2;30;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;35.539;mH;16.17;Ohm;2023-06-22;10:47:18.622465
2;120;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.240;mH;20.74;Ohm;2023-06-22;10:47:21.151508
2;150;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.380;mH;22.82;Ohm;2023-06-22;10:47:23.676042
2;180;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.090;mH;25.29;Ohm;2023-06-22;10:47:26.200362
2;200;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;38.739;mH;27.26;Ohm;2023-06-22;10:47:28.721658
2;220;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;38.977;mH;27.80;Ohm;2023-06-22;10:47:31.250387
3;12;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;23.007;mH;15.05;Ohm;2023-06-22;10:47:33.772338
3;15;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;20.357;mH;15.23;Ohm;2023-06-22;10:47:36.293122
3;20;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;34.193;mH;15.32;Ohm;2023-06-22;10:47:38.816723
3;30;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;34.064;mH;15.80;Ohm;2023-06-22;10:47:41.341709
3;120;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;38.509;mH;20.27;Ohm;2023-06-22;10:47:43.865882
3;150;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.035;mH;22.64;Ohm;2023-06-22;10:47:46.393325
3;180;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.303;mH;24.84;Ohm;2023-06-22;10:47:48.917467
3;200;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.198;mH;27.70;Ohm;2023-06-22;10:47:51.439976
3;220;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;38.308;mH;28.21;Ohm;2023-06-22;10:47:53.962220
4;12;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;29.119;mH;15.86;Ohm;2023-06-22;10:47:56.486348
4;15;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;20.876;mH;15.27;Ohm;2023-06-22;10:47:59.007852
4;20;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;30.957;mH;15.65;Ohm;2023-06-22;10:48:01.529698
4;30;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;37.404;mH;15.33;Ohm;2023-06-22;10:48:04.053127
