Repetición;Frecuencia;En posicion;Posicion;Error SC;Presion;Nivel agua;T recipiente;T subenfriada;T Estimada;Inductancia;Unidad;Resistencia;unidad;Dia;Hora
0;12;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;40.362;mH;15.50;Ohm;2023-05-29;15:12:57.596324
0;15;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;40.362;mH;15.52;Ohm;2023-05-29;15:13:00.111657
0;20;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;40.356;mH;15.55;Ohm;2023-05-29;15:13:02.626454
0;30;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;40.341;mH;15.64;Ohm;2023-05-29;15:13:05.141799
0;120;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;39.890;mH;18.02;Ohm;2023-05-29;15:13:07.659103
0;150;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;39.626;mH;19.41;Ohm;2023-05-29;15:13:10.181430
0;180;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;39.352;mH;20.85;Ohm;2023-05-29;15:13:12.694762
0;200;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;39.077;mH;22.30;Ohm;2023-05-29;15:13:15.209559
0;220;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;38.896;mH;23.24;Ohm;2023-05-29;15:13:17.724870
1;12;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;40.362;mH;15.50;Ohm;2023-05-29;15:13:20.266697
1;15;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;40.360;mH;15.52;Ohm;2023-05-29;15:13:22.783068
1;20;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;40.356;mH;15.55;Ohm;2023-05-29;15:13:25.297948
1;30;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;40.341;mH;15.64;Ohm;2023-05-29;15:13:27.822737
1;120;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;39.890;mH;18.02;Ohm;2023-05-29;15:13:30.337481
1;150;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;39.626;mH;19.41;Ohm;2023-05-29;15:13:32.853817
1;180;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;39.352;mH;20.85;Ohm;2023-05-29;15:13:35.369109
1;200;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;39.077;mH;22.30;Ohm;2023-05-29;15:13:37.884946
1;220;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;38.897;mH;23.24;Ohm;2023-05-29;15:13:40.402248
2;12;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;40.364;mH;15.50;Ohm;2023-05-29;15:13:42.916623
2;15;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;40.360;mH;15.52;Ohm;2023-05-29;15:13:45.432895
2;20;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;40.356;mH;15.55;Ohm;2023-05-29;15:13:47.951226
2;30;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;40.342;mH;15.64;Ohm;2023-05-29;15:13:50.469791
2;120;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;39.890;mH;18.02;Ohm;2023-05-29;15:13:52.990372
2;150;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;39.626;mH;19.41;Ohm;2023-05-29;15:13:55.510679
2;180;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;39.352;mH;20.85;Ohm;2023-05-29;15:13:58.028003
2;200;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;39.077;mH;22.30;Ohm;2023-05-29;15:14:00.545475
2;220;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;38.897;mH;23.24;Ohm;2023-05-29;15:14:03.064668
3;12;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;40.360;mH;15.50;Ohm;2023-05-29;15:14:05.580438
3;15;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;40.363;mH;15.52;Ohm;2023-05-29;15:14:08.098423
3;20;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;40.356;mH;15.55;Ohm;2023-05-29;15:14:10.617769
3;30;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;40.341;mH;15.64;Ohm;2023-05-29;15:14:13.133259
3;120;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;39.890;mH;18.02;Ohm;2023-05-29;15:14:15.656802
3;150;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;39.626;mH;19.41;Ohm;2023-05-29;15:14:18.175079
3;180;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;39.352;mH;20.85;Ohm;2023-05-29;15:14:20.694568
3;200;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;39.077;mH;22.30;Ohm;2023-05-29;15:14:23.212682
3;220;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;38.897;mH;23.24;Ohm;2023-05-29;15:14:25.733069
4;12;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;40.363;mH;15.50;Ohm;2023-05-29;15:14:28.250886
4;15;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;40.359;mH;15.52;Ohm;2023-05-29;15:14:30.770184
4;20;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;40.356;mH;15.55;Ohm;2023-05-29;15:14:33.286494
4;30;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;40.341;mH;15.64;Ohm;2023-05-29;15:14:35.805775
4;120;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;39.890;mH;18.02;Ohm;2023-05-29;15:14:38.321234
4;150;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;39.626;mH;19.41;Ohm;2023-05-29;15:14:40.840408
4;180;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;39.351;mH;20.85;Ohm;2023-05-29;15:14:43.356239
4;200;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;39.077;mH;22.30;Ohm;2023-05-29;15:14:45.873510
4;220;1;0.0;0.0;122.0;770.0;302.0;288.0;292.20001220703125;38.897;mH;23.24;Ohm;2023-05-29;15:14:48.394918
